CustomerID,Name,Region,JoinDate,CreditScore,IndustryType,StandardDateTime
1121,Stephanie Garrison,EAST,2020-08-21,800.0,Healthcare,2020-08-21
1122,Christopher Martinez,EAST,2021-10-07,760.0,Manufacturing,2021-10-07
1123,Colleen Greene,SOUTH-WEST,2022-08-21,730.0,Education,2022-08-21
1124,Megan Novak,EAST,2022-12-19,715.0,Retail,2022-12-19
1125,Debbie Andrews,WEST,2021-05-22,765.0,Technology,2021-05-22
1126,Lee Luna,EAST,2021-01-19,775.0,Healthcare,2021-01-19
1127,George Edwards,CENTRAL,2023-05-12,695.0,Manufacturing,2023-05-12
1128,Vincent Day,NORTH,2022-07-03,740.0,Education,2022-07-03
1129,Karina Jones,EAST,2023-11-05,660.0,Retail,2023-11-05
1130,Mary Sandoval,NORTH,2020-10-06,805.0,Technology,2020-10-06
1131,Mark Gomez,WEST,2020-06-11,825.0,Healthcare,2020-06-11
1132,Scott Winters,WEST,2022-09-20,725.0,Manufacturing,2022-09-20
1133,Victor Wagner,SOUTH-WEST,2021-06-12,760.0,Education,2021-06-12
1134,Joseph Aguilar,WEST,2023-12-05,670.0,Retail,2023-12-05
1135,Christopher Chen,SOUTH,2023-09-10,680.0,Technology,2023-09-10
1136,Scott Hernandez,SOUTH,2024-02-09,650.0,Healthcare,2024-02-09
1137,Jessica Harmon,SOUTH-WEST,2022-11-05,720.0,Manufacturing,2022-11-05
1138,Bonnie Stewart,SOUTH,2022-04-19,745.0,Education,2022-04-19
1139,Heather Olson,CENTRAL,2021-04-20,770.0,Retail,2021-04-20
1140,Carla Flores,EAST,2020-09-30,805.0,Technology,2020-09-30
1141,David Palmer,NORTH,2022-09-16,725.0,Healthcare,2022-09-16
1142,Marvin Hamilton,NORTH,2022-04-23,745.0,Manufacturing,2022-04-23
1143,Miss Chelsea Castro DDS,CENTRAL,2021-02-23,775.0,Education,2021-02-23
1144,Brian Browning,EAST,2023-05-03,695.0,Retail,2023-05-03
1145,Stephanie Powell,EAST,2023-02-03,700.0,Technology,2023-02-03
1146,Jonathan Andrade,SOUTH-WEST,2020-06-07,815.0,Healthcare,2020-06-07
1147,William Palmer,SOUTH-WEST,2023-08-14,680.0,Manufacturing,2023-08-14
1148,Dean Allison,WEST,2021-06-23,760.0,Education,2021-06-23
1149,Jordan Elliott,NORTH,2020-05-13,820.0,Retail,2020-05-13
1150,Bobby Hunter,NORTH,2020-12-06,795.0,Technology,2020-12-06
1151,Sabrina Lester,WEST,2022-07-16,735.0,Healthcare,2022-07-16
1152,Thomas Garcia,EAST,2022-09-14,725.0,Manufacturing,2022-09-14
1153,Michelle Martinez,EAST,2023-07-31,685.0,Education,2023-07-31
1154,Edward Castillo,NORTH,2020-10-01,810.0,Retail,2020-10-01
1155,Rachel Goodman,NORTH,2023-04-10,695.0,Technology,2023-04-10
1156,Dennis Acevedo,EAST,2023-06-18,690.0,Healthcare,2023-06-18
1157,Cheryl Wu,WEST,2021-12-10,755.0,Manufacturing,2021-12-10
1158,Kelly Gallagher,EAST,2024-03-02,645.0,Education,2024-03-02
1159,Kelli Smith,NORTH,2022-01-28,750.0,Retail,2022-01-28
1160,Phillip Soto,WEST,2023-04-21,700.0,Technology,2023-04-21
1161,David Ellis,EAST,2023-01-02,705.0,Healthcare,2023-01-02
1162,Deborah Rice,EAST,2022-01-14,750.0,Manufacturing,2022-01-14
1163,Elizabeth Vaughn,WEST,2023-05-01,695.0,Education,2023-05-01
1164,William Ramsey,NORTH,2023-05-04,690.0,Retail,2023-05-04
1165,Richard Burnett,CENTRAL,2022-07-24,735.0,Technology,2022-07-24
1166,David Mccullough,SOUTH-WEST,2021-12-15,755.0,Healthcare,2021-12-15
1167,Terry Frederick,NORTH,2021-12-20,760.0,Manufacturing,2021-12-20
1168,Denise Gonzales,SOUTH,2022-05-02,745.0,Education,2022-05-02
1169,Michael Edwards,SOUTH-WEST,2023-09-26,675.0,Retail,2023-09-26
1170,Eric Davis,NORTH,2023-10-15,680.0,Technology,2023-10-15
1171,Ronald Marquez,SOUTH-WEST,2024-04-21,620.0,Healthcare,2024-04-21
1172,Eric Barr,EAST,2023-02-01,700.0,Manufacturing,2023-02-01
1173,David King MD,NORTH,2022-09-14,725.0,Education,2022-09-14
1174,Deborah Saunders,WEST,2021-12-25,755.0,Retail,2021-12-25
1175,Teresa Lopez,WEST,2021-10-20,765.0,Technology,2021-10-20
1176,Ashley Williams,EAST,2021-11-24,760.0,Healthcare,2021-11-24
1177,Katherine West,EAST,2020-11-01,800.0,Manufacturing,2020-11-01
1178,Katherine Kerr,EAST,2020-11-13,795.0,Education,2020-11-13
1179,Desiree Miller,EAST,2021-12-21,755.0,Retail,2021-12-21
1180,Jennifer Smith,SOUTH-WEST,2020-10-03,810.0,Technology,2020-10-03
1181,Tiffany Smith,EAST,2024-04-07,635.0,Healthcare,2024-04-07
1182,James Gray,WEST,2020-07-24,815.0,Manufacturing,2020-07-24
1183,Kenneth Graves,EAST,2020-05-08,820.0,Education,2020-05-08
1184,Brittney Chen,EAST,2023-07-20,685.0,Retail,2023-07-20
1185,Cameron Levine,EAST,2021-07-26,765.0,Technology,2021-07-26
1186,Timothy Williams,WEST,2021-09-28,760.0,Healthcare,2021-09-28
1187,Kayla Solomon,NORTH,2022-06-10,740.0,Manufacturing,2022-06-10
1188,Ashley Todd,NORTH,2023-09-04,680.0,Education,2023-09-04
1189,Jennifer Farrell,NORTH,2022-11-18,715.0,Retail,2022-11-18
1190,Elizabeth Robinson,SOUTH-WEST,2023-12-27,670.0,Technology,2023-12-27
1191,Kyle Smith Jr.,SOUTH,2023-10-31,675.0,Healthcare,2023-10-31
1192,Gregory Medina,EAST,2020-06-06,820.0,Manufacturing,2020-06-06
1193,Nancy King,SOUTH,2022-05-23,745.0,Education,2022-05-23
1194,Casey Brown,CENTRAL,2024-02-09,650.0,Retail,2024-02-09
1195,Michael Lee,SOUTH-WEST,2023-08-22,685.0,Technology,2023-08-22
1196,Dr. Elizabeth Johnston DDS,NORTH,2022-02-09,750.0,Healthcare,2022-02-09
1197,William Wilson,WEST,2023-04-04,700.0,Manufacturing,2023-04-04
1198,Chris Allen,SOUTH-WEST,2022-10-11,725.0,Education,2022-10-11
1199,James Cooley,WEST,2020-07-23,815.0,Retail,2020-07-23
